id,sub,ch,tid,text,opt_a,opt_b,opt_c,opt_d,correct,explanation,ncert_class,ncert_chapter,ncert_page,syllabus_unit,difficulty,pyq_year,trick
101,PHYSICS,Units & Measurement,p1,The dimensional formula of angular momentum is:,[ML²T⁻²],[ML²T⁻¹],[MLT⁻¹],[ML⁻¹T⁻²],B,Angular momentum L = mvr = [M][LT⁻¹][L] = [ML²T⁻¹]. Same dimensions as Planck's constant h.,11,2,22,Units & Dimensions,easy,2022,Angular momentum = Planck's constant in dimensions. Both are [ML²T⁻¹].
102,PHYSICS,Motion in Straight Line,p2,"A body starts from rest, acceleration 4 m/s². Distance in 3rd second is:",10 m,12 m,14 m,16 m,A,Sₙ = u + a(2n−1)/2 = 0 + 4(5)/2 = 10 m.,11,3,44,Kinematics,easy,2023,Sₙ = u + a(2n−1)/2. Very frequently asked in NEET.
103,PHYSICS,Laws of Motion,p3,"5 kg block on frictionless surface, 20 N applied. Acceleration:",2 m/s²,4 m/s²,10 m/s²,25 m/s²,B,a = F/m = 20/5 = 4 m/s².,11,5,94,Newton's Laws,easy,,F=ma on frictionless surface. No friction to subtract.
104,PHYSICS,Laws of Motion,p3,"10 kg block, μ=0.3. Force to just move it (g=10):",15 N,30 N,3 N,0.3 N,B,f = μmg = 0.3×10×10 = 30 N.,11,5,97,Friction,easy,,Friction = μmg on horizontal. Static ≥ Kinetic friction.
105,PHYSICS,Work Energy Power,p4,Work done by centripetal force on circular motion:,Maximum,Minimum,Zero,Depends on speed,C,F ⊥ displacement → W = Fd cos90° = 0.,11,6,118,Work Energy,easy,2021,"Force perpendicular to displacement → W=0. Centripetal, Normal on horizontal → zero work."
106,PHYSICS,Gravitation,p5,Escape velocity from Earth's surface:,8 km/s,11.2 km/s,15 km/s,3 km/s,B,ve = √(2gR) ≈ 11.2 km/s. ve = √2 × orbital velocity.,11,8,188,Gravitation,easy,2020,ve = 11.2 km/s. Orbital vo = 7.9 km/s. ve = √2 × vo.
107,PHYSICS,Rotational Motion,p6,Moment of inertia of uniform disc about diameter:,MR²/2,MR²/4,MR²,2MR²,B,By perpendicular axis theorem: MR²/2 = 2I_diameter → I = MR²/4.,11,7,152,Rotational Motion,medium,2019,Disc about center = MR²/2. Divide by 2 for diameter = MR²/4.
108,PHYSICS,Oscillations,p7,Time period of simple pendulum depends on:,Mass of bob,Length and gravity,Amplitude,All of above,B,T = 2π√(L/g). Independent of mass and amplitude (small oscillations).,11,14,340,SHM,easy,2022,T = 2π√(L/g). On moon: T increases (g smaller).
109,PHYSICS,Waves,p8,Speed of sound in air at 0°C:,232 m/s,332 m/s,432 m/s,532 m/s,B,v = 332 m/s at 0°C. Increases 0.61 m/s per °C.,11,15,368,Waves,easy,,332 at 0°C. At 30°C: 332+18.3 ≈ 350 m/s.
110,PHYSICS,Thermodynamics,p9,In isothermal process for ideal gas:,Temperature changes,Pressure constant,Internal energy constant,Volume constant,C,T = constant → ΔU = 0 → Q = W.,11,12,299,Thermodynamics,medium,2023,Isothermal: ΔU=0. Isobaric: P same. Isochoric: V same → W=0. Adiabatic: Q=0.
111,PHYSICS,Kinetic Theory,p10,RMS speed of gas molecules is proportional to:,√T,T,T²,1/√T,A,vrms = √(3RT/M) ∝ √T.,11,13,321,Kinetic Theory,easy,,All molecular speeds ∝ √T and ∝ 1/√M.
112,PHYSICS,Electrostatics,p11,Electric field inside a hollow conducting sphere:,Maximum at center,Zero,Uniform,Depends on charge,B,"By Gauss's law, no enclosed charge → E = 0 inside conductor.",12,1,18,Electrostatics,easy,2022,Inside conductor = E is ZERO always. Charges on outer surface.
113,PHYSICS,Electrostatics,p11,Capacitance of parallel plate capacitor increases when:,Distance increases,Area decreases,Dielectric inserted,Charge decreases,C,C = Kε₀A/d. Dielectric K>1 increases C.,12,2,68,Capacitors,easy,,"C = Kε₀A/d. Increase K or A, decrease d → C increases."
