subject,chapter,tid,type,statement1,statement2,opt_a,opt_b,opt_c,opt_d,correct,explanation,ncert_class,ncert_chapter,difficulty,question
PHYSICS,Units and Measurements,p1,assertion_reason,The SI unit of electric current is the Ampere.,Ampere is one of the seven fundamental SI base units.,,,,,A,"Ampere is indeed a base SI unit alongside metre, kilogram, second, kelvin, mole, and candela - it is not derived from any other unit.",11,2,easy,
PHYSICS,Gravitation,p14,assertion_reason,Insulin is produced by the pancreas.,The pancreas is located in the abdominal cavity.,,,,,B,"Both statements are independently true, but the pancreas's location does not explain why it produces insulin - that is due to its islet cells, not its anatomical position.",11,8,medium,
PHYSICS,Work Energy and Power,p3,statement,Work done by a force is zero when the force acts perpendicular to displacement.,Work is a scalar quantity.,,,,,A,W = F.d.cos(theta); at theta=90 degrees cos(90)=0 so W=0 - Statement I is true. Work is indeed defined as a scalar (dot product of two vectors) - Statement II is true.,11,6,medium,
CHEMISTRY,Classification of Elements,c9,assertion_reason,Noble gases have very low chemical reactivity.,Noble gases have a completely filled outermost electron shell.,,,,,A,"A stable, fully-filled valence shell gives noble gases little tendency to gain, lose, or share electrons - directly explaining their inertness.",11,3,easy,
CHEMISTRY,Chemical Bonding,c4,assertion_reason,Diamond is a poor conductor of electricity.,"In diamond, all four valence electrons of each carbon atom are used in covalent bonding.",,,,,A,"With no delocalised or free electrons available (unlike graphite), diamond cannot conduct electric current.",11,4,medium,
CHEMISTRY,Some Basic Concepts,c1,statement,Sodium chloride is an ionic compound.,Ionic compounds generally have high melting points.,,,,,A,"NaCl is a classic ionic compound, and ionic compounds generally do have high melting points due to strong electrostatic lattice forces - both statements are independently true.",11,1,easy,
BIOLOGY,Cell Structure and Function,b3,assertion_reason,Mitochondria are called the powerhouse of the cell.,Mitochondria are the site of aerobic respiration and ATP synthesis.,,,,,A,"Aerobic respiration in mitochondria generates the majority of a cell's ATP, directly explaining the powerhouse description.",11,8,easy,
BIOLOGY,Plant Physiology,b28,assertion_reason,Plants absorb carbon dioxide during photosynthesis.,Photosynthesis occurs only in the roots of a plant.,,,,,C,"Plants do absorb CO2 for photosynthesis, but photosynthesis occurs in chlorophyll-containing tissue, primarily leaves - not in roots, which generally lack chlorophyll.",11,13,medium,
BIOLOGY,Genetics and Evolution,b14,assertion_reason,Humans have 24 pairs of chromosomes.,Chromosomes carry genetic information in the form of DNA.,,,,,D,"Humans have 23 pairs of chromosomes, not 24 - the assertion is false. Chromosomes do carry genetic information as DNA - the reason is true.",12,5,medium,
BIOLOGY,Molecular Basis of Inheritance,b15,statement,DNA replication is semi-conservative.,Each daughter DNA molecule retains one parental strand and gains one newly synthesised strand.,,,,,A,The Meselson-Stahl experiment confirmed semi-conservative replication - each new DNA molecule is exactly as Statement II describes.,12,6,medium,
