tid,subject,chapter,question,opt_a,opt_b,opt_c,opt_d,correct,explanation,ncert_class,ncert_chapter,ncert_page,syllabus_unit,difficulty,pyq_year,trick
b5,BIOLOGY,Human Physiology,Which enzyme initiates protein digestion in stomach?,Trypsin,Pepsin,Lipase,Amylase,B,Pepsin is activated from pepsinogen by HCl in stomach,11,16,-,Human Physiology,easy,2020,Trypsin is pancreatic
b5,BIOLOGY,Human Physiology,Bile is produced by ___ and stored in ___,Liver; gallbladder,Gallbladder; liver,Pancreas; duodenum,Stomach; liver,A,Hepatocytes produce bile; gallbladder concentrates and stores it,11,16,-,Human Physiology,easy,,
b5,BIOLOGY,Human Physiology,Villi are found in which part of alimentary canal?,Stomach,Small intestine,Large intestine,Oesophagus,B,Villi increase surface area for absorption in small intestine,11,16,-,Human Physiology,starter,2019,
b5,BIOLOGY,Human Physiology,Which blood cells are called soldiers of the body?,RBC,WBC,Platelets,Plasma cells,B,WBCs (leucocytes) fight infections,11,18,-,Human Physiology,starter,,
b5,BIOLOGY,Human Physiology,Normal systolic blood pressure in young adult (mmHg):,80,100,120,140,C,120/80 mmHg is normal; 140/90 is hypertension,11,18,-,Human Physiology,easy,2021,
b5,BIOLOGY,Human Physiology,Lub sound of heart is produced when:,Semilunar valves close,AV valves close,AV valves open,Atria contract,B,First heart sound (S1) = closure of bicuspid and tricuspid valves,11,18,-,Human Physiology,medium,,Dub = semilunar close
b5,BIOLOGY,Human Physiology,Exchange of gases occurs at alveoli due to:,Active transport,Osmosis,Diffusion,Endocytosis,C,Simple diffusion along partial pressure gradient,11,17,-,Human Physiology,easy,2018,
b5,BIOLOGY,Human Physiology,Residual volume of lungs is approximately:,500 mL,1100 mL,1200 mL,2500 mL,C,Air remaining after forceful expiration; cannot be expelled,11,17,-,Human Physiology,medium,,TV=500 ERV=1100 RV=1200
b5,BIOLOGY,Human Physiology,Oxygen dissociation curve shifts right when:,pH increases,Temperature decreases,CO2 increases (Bohr effect),All of the above,C,High CO2/low pH/high temp shifts curve right = easier O2 release,11,17,-,Human Physiology,hard,2022,Bohr effect
b5,BIOLOGY,Human Physiology,Juxtaglomerular cells secrete:,ADH,Aldosterone,Renin,Erythropoietin,C,Renin converts angiotensinogen to angiotensin I (RAAS pathway),11,19,-,Human Physiology,medium,2020,
b5,BIOLOGY,Human Physiology,Henle loop is involved in:,Secretion,Concentration of urine,Filtration,Reabsorption only,B,Countercurrent mechanism in loop creates medullary gradient,11,19,-,Human Physiology,medium,,
b5,BIOLOGY,Human Physiology,GFR (Glomerular Filtration Rate) per day in humans:,7 L,125 L,180 L,1.5 L,C,125 mL/min x 1440 min = 180 L; only 1.5 L becomes urine,11,19,-,Human Physiology,easy,2019,99% reabsorbed
b5,BIOLOGY,Human Physiology,Myelin sheath is formed by:,Astrocytes,Schwann cells,Microglia,Ependymal cells,B,Schwann cells in PNS; oligodendrocytes in CNS,11,21,-,Human Physiology,easy,,
b5,BIOLOGY,Human Physiology,Nissl granules are found in:,Axon,Dendrites and cell body,Synapse,Myelin sheath,B,Rough ER clusters (Nissl bodies) in soma and dendrites; absent in axon,11,21,-,Human Physiology,medium,2021,
b5,BIOLOGY,Human Physiology,Which cranial nerve has both sensory and motor function?,Optic,Vagus,Olfactory,Abducens,B,Vagus (X) is mixed nerve; longest cranial nerve,11,21,-,Human Physiology,medium,,Vagus innervates heart/gut
b5,BIOLOGY,Human Physiology,Acromegaly is caused by hypersecretion of:,TSH,GH in adults,GH in children,ACTH,B,Excess GH after bone fusion = acromegaly; before = gigantism,11,22,-,Human Physiology,easy,2020,
b5,BIOLOGY,Human Physiology,Addison disease is due to:,Excess cortisol,Deficiency of adrenal cortex hormones,Excess aldosterone,Thyroid deficiency,B,Destruction of adrenal cortex; low cortisol and aldosterone,11,22,-,Human Physiology,medium,,Cushing = excess cortisol
b5,BIOLOGY,Human Physiology,Sliding filament theory explains:,Nerve impulse,Muscle contraction,Bone growth,Blood clotting,B,Actin slides over myosin; sarcomere shortens; muscle contracts,11,20,-,Human Physiology,easy,2018,
b5,BIOLOGY,Human Physiology,Which mineral is essential for muscle contraction?,Sodium,Calcium,Iron,Potassium,B,Ca2+ binds troponin C exposing myosin binding sites on actin,11,20,-,Human Physiology,easy,,Ca2+ from sarcoplasmic reticulum
b5,BIOLOGY,Human Physiology,Red muscle fibres contain more:,Glycogen,Myoglobin,Actin,Keratin,B,Myoglobin stores O2; red fibres are slow-twitch oxidative,11,20,-,Human Physiology,medium,2022,
