id,sub,ch,tid,text,opt_a,opt_b,opt_c,opt_d,correct,explanation,ncert_class,ncert_chapter,ncert_page,syllabus_unit,difficulty,pyq_year,trick
201,CHEMISTRY,Basic Concepts,c1,22.4 L of any gas at STP contains:,6.022×10²³ atoms,6.022×10²³ molecules,Avogadro's number of atoms,Cannot determine atoms,D,22.4L = 1 mole molecules. Atoms = moles × atomicity. Atomicity varies per gas.,11,1,13,Mole Concept,medium,,22.4L = 1 mole molecules. But atoms depend on atomicity of the specific gas!
202,CHEMISTRY,Atomic Structure,c2,Maximum electrons in 3d subshell:,6,10,14,18,B,d has 5 orbitals × 2 electrons = 10.,11,2,36,Atomic Structure,easy,,"s=2, p=6, d=10, f=14. Orbitals × 2."
203,CHEMISTRY,Chemical Bonding,c3,Shape of water molecule:,Linear,Trigonal planar,Bent (V-shaped),Tetrahedral,C,"sp³, 2 bond pairs + 2 lone pairs → bent. Bond angle 104.5°.",11,4,124,Chemical Bonding,easy,2020,"H₂O=bent(104.5°), NH₃=trigonal pyramidal(107°), CH₄=tetrahedral(109.5°)."
204,CHEMISTRY,States of Matter,c4,"At constant T, pressure doubled. Volume:",Doubles,Same,Halves,Quadruples,C,Boyle's Law: PV = constant. 2P × V/2 = PV.,11,5,149,States of Matter,easy,,Boyle: P↑ V↓. Charles: T↑ V↑. Gay-Lussac: T↑ P↑.
205,CHEMISTRY,Thermodynamics,c5,ΔH<0 and ΔS<0. Reaction is spontaneous:,All temperatures,High T,Low T,Never,C,"ΔG = ΔH − TΔS. At low T, TΔS small → ΔG negative → spontaneous.",11,6,180,Thermodynamics,hard,2023,ΔH− ΔS− → low T. ΔH+ ΔS+ → high T. Use ΔG = ΔH − TΔS.
206,CHEMISTRY,Equilibrium,c6,Increasing pressure on N₂+3H₂⇌2NH₃:,Shifts left,Shifts right,No effect,Raises T,B,4 moles gas → 2 moles. Higher P → fewer moles side (right) → more NH₃.,11,7,204,Equilibrium,medium,2022,High P → fewer moles side. Haber process uses this.
207,CHEMISTRY,Electrochemistry,c7,Standard electrode potential of SHE:,1.0V,0.0V,-1.0V,0.5V,B,SHE = 0.00 V by definition. All others measured relative to it.,12,3,77,Electrochemistry,easy,,SHE = 0V. +E° = better oxidizing agent. -E° = better reducing agent.
208,CHEMISTRY,Chemical Kinetics,c8,Half-life of first order reaction is independent of:,Rate constant,Temperature,Initial concentration,Activation energy,C,t½ = 0.693/k. Depends on k but NOT on initial concentration.,12,4,105,Chemical Kinetics,medium,2023,First order: t½ = 0.693/k (concentration independent). Zero order: t½ depends on [A₀].
209,CHEMISTRY,Periodic Properties,c9,Electronegativity in a period:,Increases left to right,Decreases left to right,Constant,First increases then decreases,A,Nuclear charge increases → stronger pull on electrons → higher EN.,11,3,86,Periodic Table,easy,,Period: EN left→right increases. Group: EN top→bottom decreases. Most EN: F.
210,CHEMISTRY,Hydrogen,c10,Heavy water (D₂O) differs from H₂O in:,Chemical only,Physical only,Both,Neither,C,"Higher density, BP, MP. Chemical reactions slightly slower.",11,9,212,Hydrogen,medium,,"D₂O heavier → denser, higher BP/MP. Toxic to biological systems."
211,CHEMISTRY,s-Block Elements,c11,Which alkali metal reacts most vigorously with water?,Li,Na,K,Cs,D,Reactivity: Li < Na < K < Rb < Cs. Ionization energy decreases down group.,11,10,234,s-Block,easy,,"Cs most reactive. Li floats, Na fizzes, K catches fire, Cs/Rb explode."
212,CHEMISTRY,p-Block Elements,c12,Strongest hydrohalic acid:,HF,HCl,HBr,HI,D,Acid strength ∝ 1/(H-X bond strength). Bond strength F>Cl>Br>I. So HI > HBr > HCl > HF.,12,7,210,p-Block,medium,2021,HI strongest acid. HF weakest acid but strongest bond. Electronegativity ≠ acid strength.
213,CHEMISTRY,d-Block Elements,c13,Transition metal with highest melting point:,Fe,Cu,Tungsten (W),Ti,C,Tungsten: MP = 3422°C. Highest of all metals. Maximum d-electron contribution to bonding.,12,8,238,d-Block,hard,,W = highest MP. Used in bulb filaments. W = Tough = Temperature-resistant.
214,CHEMISTRY,Coordination Compounds,c14,IUPAC name of [Cu(NH₃)₄]²⁺:,Copper tetraammine,Tetraamminecopper(II),Tetraamminecopper(I),Cupric ammine,B,"Ligands first, metal with oxidation state. Cu = +2. Ammine (not amine).",12,9,265,Coordination Compounds,medium,,Ligands first (alphabetical) then metal with Roman numeral. Ammine has 2 m's.
215,CHEMISTRY,Organic Nomenclature,c15,IUPAC name of CH₃-CH₂-OH:,Methanol,Ethanol,Propanol,Propan-2-ol,B,2C chain + OH at C1 = Ethan-1-ol (ethanol).,11,12,339,Nomenclature,easy,,"1C=meth, 2C=eth, 3C=prop, 4C=but. Alcohol=-ol. Aldehyde=-al. Ketone=-one."
216,CHEMISTRY,GOC,c16,Stability of carbocations:,3°>2°>1°>CH₃⁺,CH₃⁺>1°>2°>3°,1°>2°>3°,All equal,A,More alkyl groups → more hyperconjugation → more stable.,11,13,361,General Organic Chemistry,medium,2022,Carbocation stability: 3°>2°>1°>methyl. Carbanion: reverse. Radical: 3°>2°>1°.
