subject,chapter,question,opt_a,opt_b,opt_c,opt_d,correct,explanation,ncert_class,ncert_chapter,ncert_page,syllabus_unit,difficulty,pyq_year,trick
PHYSICS,Units & Measurement,Dimensional formula of angular momentum:,[ML²T⁻²],[ML²T⁻¹],[MLT⁻¹],[ML⁻¹T⁻²],B,Angular momentum = mvr = [ML²T⁻¹]. Same as Planck's constant.,11,2,22,Units & Dimensions,easy,2022,Angular momentum = Planck's constant dimensions = [ML²T⁻¹]
PHYSICS,Laws of Motion,5 kg on frictionless; 20N applied. Acceleration:,2 m/s²,4 m/s²,10 m/s²,25 m/s²,B,a = F/m = 20/5 = 4 m/s²,11,5,94,Newton Laws,easy,,F=ma on frictionless surface
PHYSICS,Gravitation,Escape velocity from Earth:,8 km/s,11.2 km/s,15 km/s,3 km/s,B,ve = √(2gR) ≈ 11.2 km/s,11,8,188,Gravitation,easy,2020,ve=11.2 km/s. ve=√2 × orbital velocity=7.9 km/s
PHYSICS,Electrostatics,Electric field inside hollow conductor:,Max at center,Zero,Uniform,Depends on charge,B,Gauss law: no enclosed charge → E=0 inside,12,1,18,Electrostatics,easy,2022,Inside conductor E=ZERO always
PHYSICS,Photoelectric Effect,Photoelectric effect proves light has:,Wave nature,Particle nature,Both,Neither,B,Photons E=hν cannot be explained by wave theory,12,11,382,Dual Nature,easy,2023,Photoelectric=particle. Diffraction=wave.
PHYSICS,Atoms,Bohr radius of nth orbit ∝:,n,n²,1/n,1/n²,B,rn = n²a₀/Z ∝ n²,12,12,400,Atoms,easy,2020,Radius∝n². Energy∝1/n². Angular momentum∝n.
CHEMISTRY,Atomic Structure,Max electrons in 3d subshell:,6,10,14,18,B,5 orbitals × 2 = 10 electrons,11,2,36,Atomic Structure,easy,,s=2;p=6;d=10;f=14
CHEMISTRY,Chemical Bonding,Shape of H₂O:,Linear,Trigonal planar,Bent (V-shaped),Tetrahedral,C,sp³ + 2 lone pairs → bent. Bond angle 104.5°,11,4,124,Chemical Bonding,easy,2020,H₂O=bent(104.5°). NH₃=pyramidal(107°). CH₄=tetrahedral(109.5°).
CHEMISTRY,Thermodynamics,ΔH<0 and ΔS<0. Spontaneous at:,All T,High T,Low T,Never,C,ΔG=ΔH−TΔS. At low T; ΔG negative.,11,6,180,Thermodynamics,hard,2023,ΔH− ΔS− → low T spontaneous
CHEMISTRY,Equilibrium,Increasing P on N₂+3H₂⇌2NH₃:,Shifts left,Shifts right,No effect,Raises T,B,4 mol → 2 mol. High P → fewer moles side,11,7,204,Equilibrium,medium,2022,High P → fewer moles side. Haber process.
CHEMISTRY,Chemical Kinetics,Half-life of 1st order reaction independent of:,Rate constant,Temperature,Initial concentration,Activation energy,C,t½=0.693/k. Independent of [A₀].,12,4,105,Kinetics,medium,2023,First order: t½=0.693/k (concentration independent)
CHEMISTRY,GOC,Stability of carbocations:,3°>2°>1°>CH₃⁺,CH₃⁺>1°>2°>3°,Equal,1°>2°>3°,A,Hyperconjugation: more alkyl groups = more stable,11,13,361,GOC,medium,2022,Carbocation: 3°>2°>1°>methyl
CHEMISTRY,Alcohols,Lucas test distinguishes:,1° and 2°,All 3 types,Alcohols from phenols,Aldehydes from ketones,B,3°=immediate; 2°=5min; 1°=no reaction,12,11,318,Alcohols,medium,,Lucas: 3°→immediate; 2°→5min; 1°→no reaction
CHEMISTRY,Biomolecules,Vitamin deficiency causing Scurvy:,A,B₁₂,C,D,C,Vitamin C (ascorbic acid) for collagen synthesis,12,14,408,Biomolecules,easy,2020,A=night blindness; C=scurvy; D=rickets
BIOLOGY,Cell Biology,Powerhouse of cell:,Ribosome,Mitochondria,Lysosome,Golgi,B,Mitochondria produce ATP via oxidative phosphorylation,11,8,135,Cell Organelles,easy,2022,Mito=powerhouse. Ribosome=protein factory. Lysosome=suicidal bag.
BIOLOGY,Biomolecules,NOT a reducing sugar:,Glucose,Fructose,Sucrose,Maltose,C,Sucrose: anomeric C of both sugars in glycosidic bond,11,9,155,Biomolecules,medium,2023,Non-reducing: Sucrose; Trehalose. All monosaccharides = reducing.
BIOLOGY,Genetics,DNA replication is semi-conservative because:,Both strands new,One old + one new,Two forks,Polymerase conserves energy,B,Meselson-Stahl (1958) experiment proved this,12,6,108,Molecular Basis,medium,2024,Semi = half old; half new. Meselson-Stahl = ¹⁵N/¹⁴N
BIOLOGY,Cell Division,Crossing over occurs at:,Leptotene,Zygotene,Pachytene,Diplotene,C,Crossing over at Pachytene of Prophase I,11,10,180,Cell Division,hard,2022,LZPDD: Pachytene = crossing over stage!
BIOLOGY,Photosynthesis,Site of light reactions in chloroplast:,Stroma,Thylakoid membrane,Outer membrane,Intermembrane space,B,Light reactions: thylakoid. Calvin cycle: stroma.,11,13,212,Photosynthesis,easy,2023,Light=Thylakoid. Dark(Calvin)=Stroma.
BIOLOGY,Respiration,Glycolysis occurs in:,Mitochondrial matrix,Cytoplasm,Nucleus,Chloroplast,B,Glycolysis in cytoplasm. Anaerobic process.,11,14,234,Respiration,easy,2020,Glycolysis=Cytoplasm. Krebs=Matrix. ETC=Inner membrane.
BIOLOGY,Human Physiology,Pacemaker of heart:,AV node,SA node,Bundle of His,Purkinje fibres,B,SA node: 70-75 bpm in right atrium.,11,18,294,Circulation,easy,2023,SA node=pacemaker=right atrium. Natural rhythm generator.
