id,sub,ch,tid,text,opt_a,opt_b,opt_c,opt_d,correct,explanation,ncert_class,ncert_chapter,ncert_page,syllabus_unit,difficulty,pyq_year,trick
101,PHYSICS,Units & Measurement,p1,The dimensional formula of angular momentum is:,[ML²T⁻²],[ML²T⁻¹],[MLT⁻¹],[ML⁻¹T⁻²],B,Angular momentum L = mvr = [M][LT⁻¹][L] = [ML²T⁻¹]. Same dimensions as Planck's constant h.,11,2,22,Units & Dimensions,easy,2022,Angular momentum = Planck's constant in dimensions. Both are [ML²T⁻¹].
102,PHYSICS,Motion in Straight Line,p2,"A body starts from rest, acceleration 4 m/s². Distance in 3rd second is:",10 m,12 m,14 m,16 m,A,Sₙ = u + a(2n−1)/2 = 0 + 4(5)/2 = 10 m.,11,3,44,Kinematics,easy,2023,Sₙ = u + a(2n−1)/2. Very frequently asked in NEET.
105,PHYSICS,Work Energy Power,p4,Work done by centripetal force on circular motion:,Maximum,Minimum,Zero,Depends on speed,C,F ⊥ displacement → W = Fd cos90° = 0.,11,6,118,Work Energy,easy,2021,"Force perpendicular to displacement → W=0. Centripetal, Normal on horizontal → zero work."
106,PHYSICS,Gravitation,p5,Escape velocity from Earth's surface:,8 km/s,11.2 km/s,15 km/s,3 km/s,B,ve = √(2gR) ≈ 11.2 km/s. ve = √2 × orbital velocity.,11,8,188,Gravitation,easy,2020,ve = 11.2 km/s. Orbital vo = 7.9 km/s. ve = √2 × vo.
107,PHYSICS,Rotational Motion,p6,Moment of inertia of uniform disc about diameter:,MR²/2,MR²/4,MR²,2MR²,B,By perpendicular axis theorem: MR²/2 = 2I_diameter → I = MR²/4.,11,7,152,Rotational Motion,medium,2019,Disc about center = MR²/2. Divide by 2 for diameter = MR²/4.
108,PHYSICS,Oscillations,p7,Time period of simple pendulum depends on:,Mass of bob,Length and gravity,Amplitude,All of above,B,T = 2π√(L/g). Independent of mass and amplitude (small oscillations).,11,14,340,SHM,easy,2022,T = 2π√(L/g). On moon: T increases (g smaller).
110,PHYSICS,Thermodynamics,p9,In isothermal process for ideal gas:,Temperature changes,Pressure constant,Internal energy constant,Volume constant,C,T = constant → ΔU = 0 → Q = W.,11,12,299,Thermodynamics,medium,2023,Isothermal: ΔU=0. Isobaric: P same. Isochoric: V same → W=0. Adiabatic: Q=0.
112,PHYSICS,Electrostatics,p11,Electric field inside a hollow conducting sphere:,Maximum at center,Zero,Uniform,Depends on charge,B,"By Gauss's law, no enclosed charge → E = 0 inside conductor.",12,1,18,Electrostatics,easy,2022,Inside conductor = E is ZERO always. Charges on outer surface.
115,PHYSICS,Magnetic Effects,p13,Charged particle moves parallel to B. Magnetic force:,qvB,Maximum,Zero,qvB/2,C,F = qvBsinθ. θ=0° (parallel) → F=0.,12,4,121,Magnetism,easy,2021,Parallel to B → F=0. Perpendicular to B → F=max=qvB.
116,PHYSICS,Electromagnetic Induction,p14,Lenz's law is consequence of:,Conservation of energy,Conservation of charge,Conservation of momentum,Newton's 3rd law,A,Induced current opposes change to conserve energy.,12,6,208,EMI,medium,2019,Lenz = Energy conservation in EM form.
118,PHYSICS,Dual Nature,p16,Photoelectric effect proves light has:,Wave nature,Particle nature,Both,Neither,B,Photons (E=hν) cannot be explained by wave theory → particle nature.,12,11,382,Dual Nature,easy,2023,Photoelectric → particle. Diffraction/Interference → wave.
119,PHYSICS,Atoms,p17,Bohr's model: radius of nth orbit proportional to:,n,n²,1/n,1/n²,B,rn = n²a₀/Z. rn ∝ n².,12,12,400,Atoms,easy,2020,Radius ∝ n². Energy ∝ 1/n². Velocity ∝ 1/n. Angular momentum ∝ n.
121,PHYSICS,Projectile Motion,p19,Horizontal range is maximum when angle is:,30°,45°,60°,90°,B,R = u²sin2θ/g. Max when sin2θ=1 → θ=45°.,11,4,67,Projectile,easy,2021,Max range at 45°. Equal range at complementary angles (30°=60°).
