tid,subject,chapter,question,opt_a,opt_b,opt_c,opt_d,correct,explanation,ncert_class,ncert_chapter,ncert_page,syllabus_unit,difficulty,pyq_year,trick
c8,CHEMISTRY,Organic Chemistry,Hybridization of carbon in methane:,sp,sp2,sp3,sp3d,C,4 sigma bonds; tetrahedral geometry 109.5 degrees,11,8,-,Organic Chemistry,starter,,
c8,CHEMISTRY,Organic Chemistry,IUPAC name of CH3-CH=CH2:,Propyne,Propene,Propane,Propadiene,B,3 carbons with one double bond = propene,11,8,-,Organic Chemistry,starter,2019,
c8,CHEMISTRY,Organic Chemistry,Electrophile is:,Electron donor,Electron acceptor,Neutral species,Reducing agent,B,Electrophile loves electrons; has empty orbital or positive charge,11,8,-,Organic Chemistry,easy,,NO2+ Br+ AlCl3
c8,CHEMISTRY,Organic Chemistry,Inductive effect is:,Temporary,Permanent,Only in double bonds,Only in aromatic,B,Permanent polarization along sigma bonds,11,8,-,Organic Chemistry,easy,2020,
c8,CHEMISTRY,Organic Chemistry,Hyperconjugation involves:,Sigma C-H bond and vacant p orbital,Only pi bonds,Only sigma bonds,Lone pairs only,A,No-bond resonance; sigma CH adjacent to carbocation/double bond,11,8,-,Organic Chemistry,medium,,Baker-Nathan effect
c9,CHEMISTRY,Hydrocarbons,Wurtz reaction produces:,Alkene,Higher alkane,Alkyne,Aldehyde,B,2RX + 2Na gives R-R + 2NaX (symmetric alkane),11,9,-,Hydrocarbons,easy,2018,Only symmetric; cross gives mixture
c9,CHEMISTRY,Hydrocarbons,Baeyer test uses which reagent?,KMnO4 (dilute alkaline),Br2/CCl4,Na metal,FeCl3,A,Decolorization of pink KMnO4 confirms unsaturation,11,9,-,Hydrocarbons,easy,,Also called Baeyer reagent
c9,CHEMISTRY,Hydrocarbons,Benzene does not undergo:,Substitution,Addition easily,Combustion,Sulphonation,B,Aromatic stability resists addition; prefers electrophilic substitution,11,9,-,Hydrocarbons,easy,2021,
c15,CHEMISTRY,Haloalkanes,SN2 mechanism shows:,Racemisation,Retention,Walden inversion,No stereochemical change,C,Backside attack causes inversion of configuration,12,6,-,Haloalkanes,medium,2020,SN1 gives racemisation
c15,CHEMISTRY,Haloalkanes,Grignard reagent is:,RMgX,RLi,RNa,RZnX,A,Alkyl magnesium halide in dry ether,12,6,-,Haloalkanes,easy,,Frankland reagent = RZnX
c15,CHEMISTRY,Haloalkanes,Elimination reaction (E2) gives:,Alcohol,Alkene,Alkane,Ester,B,Loss of HX from adjacent carbons forms double bond,12,6,-,Haloalkanes,easy,2019,Saytzeff rule: more substituted alkene
