tid,subject,chapter,question,opt_a,opt_b,opt_c,opt_d,correct,explanation,ncert_class,ncert_chapter,ncert_page,syllabus_unit,difficulty,pyq_year,trick
b1,BIOLOGY,Diversity,Binomial nomenclature was given by:,Darwin,Linnaeus,Whittaker,Mendel,B,Species Plantarum 1753,11,1,-,Diversity in Living World,starter,,
b1,BIOLOGY,Diversity,Five kingdom classification proposed by:,Linnaeus,Whittaker,Haeckel,Copeland,B,"1969, based on cell structure etc.",11,2,-,Diversity in Living World,easy,2019,
b1,BIOLOGY,Diversity,Double fertilization is characteristic of:,Gymnosperms,Angiosperms,Bryophytes,Pteridophytes,B,Syngamy + triple fusion,11,3,-,Diversity in Living World,easy,,
b1,BIOLOGY,Diversity,Amphibians of plant kingdom:,Algae,Bryophytes,Fungi,Ferns,B,Need water for fertilization,11,3,-,Diversity in Living World,easy,2021,
b2,BIOLOGY,Structural Organisation,Xylem transports:,Food,Water and minerals,Hormones only,Oxygen,B,Upward from roots,11,6,-,Structural Organisation,starter,,
b2,BIOLOGY,Structural Organisation,Casparian strips are found in:,Epidermis,Endodermis,Cortex,Pericycle,B,Suberin bands,11,6,-,Structural Organisation,medium,2018,
b3,BIOLOGY,Cell,Powerhouse of the cell:,Ribosome,Mitochondria,Golgi,Lysosome,B,ATP by oxidative phosphorylation,11,8,-,Cell Structure,starter,,
b3,BIOLOGY,Cell,Suicidal bags of cell:,Lysosomes,Peroxisomes,Ribosomes,Vacuoles,A,Hydrolytic enzymes,11,8,-,Cell Structure,starter,,
b3,BIOLOGY,Cell,Crossing over occurs during:,Leptotene,Zygotene,Pachytene,Diplotene,C,Recombination at pachytene,11,10,-,Cell Structure,medium,2020,
b3,BIOLOGY,Cell,Ribosomes of prokaryotes:,80S,70S,60S,50S only,B,50S+30S,11,8,-,Cell Structure,easy,,
b4,BIOLOGY,Plant Physiology,Photosynthesis dark reactions occur in:,Grana,Stroma,Thylakoid membrane,Cytoplasm,B,Calvin cycle in stroma,11,11,-,Plant Physiology,easy,2019,
b4,BIOLOGY,Plant Physiology,First stable product of C3 cycle:,PGA,OAA,RuBP,PEP,A,3-phosphoglyceric acid,11,11,-,Plant Physiology,easy,,C4 first product is OAA
b4,BIOLOGY,Plant Physiology,Hormone causing apical dominance:,Cytokinin,Auxin,Gibberellin,Ethylene,B,Suppresses lateral buds,11,13,-,Plant Physiology,easy,2022,
b4,BIOLOGY,Plant Physiology,Kranz anatomy is feature of:,C3 plants,C4 plants,CAM plants,All plants,B,Bundle sheath arrangement,11,11,-,Plant Physiology,medium,,
b5,BIOLOGY,Human Physiology,Functional unit of kidney:,Neuron,Nephron,Alveolus,Villus,B,About 1 million per kidney,11,19,-,Human Physiology,starter,,
b5,BIOLOGY,Human Physiology,Bicuspid valve is between:,RA-RV,LA-LV,RV-pulmonary artery,LV-aorta,B,"Mitral valve, left side",11,18,-,Human Physiology,easy,2020,
b5,BIOLOGY,Human Physiology,Oxygen is transported mainly as:,Dissolved in plasma,Oxyhaemoglobin,Carbamino compound,Bicarbonate,B,97% via Hb,11,17,-,Human Physiology,easy,,
