id,sub,ch,tid,text,opt_a,opt_b,opt_c,opt_d,correct,explanation,ncert_class,ncert_chapter,ncert_page,syllabus_unit,difficulty,pyq_year,trick
301,BIOLOGY,Cell: Unit of Life,b1,"Which organelle is the ""powerhouse of the cell""?",Ribosome,Mitochondria,Lysosome,Golgi Apparatus,B,Mitochondria produce ATP via oxidative phosphorylation. Inner membrane = cristae.,11,8,135,Cell Organelles,easy,2022,Mito=powerhouse. Ribosome=protein factory. Golgi=post office. Lysosome=suicidal bag.
302,BIOLOGY,Cell: Unit of Life,b1,Ribosomes are found in:,Nucleus only,Cytoplasm only,Both cytoplasm and rough ER,Mitochondria only,C,80S ribosomes: cytoplasm + rough ER. 70S: mitochondria and chloroplasts.,11,8,133,Cell Organelles,easy,,"Rough ER has Ribosomes (R for R). Smooth ER doesn't. 80S=cytoplasm, 70S=organelles."
303,BIOLOGY,Biomolecules,b2,Which is NOT a reducing sugar?,Glucose,Fructose,Sucrose,Maltose,C,Sucrose: glycosidic bond between anomeric carbons of both → no free reducing group.,11,9,155,Biomolecules,medium,2023,"Non-reducing: Sucrose, Trehalose. All monosaccharides = reducing. Most disaccharides = reducing EXCEPT sucrose."
304,BIOLOGY,Molecular Basis,b3,DNA replication is semi-conservative because:,Both strands new,One old + one new strand,Two forks,Polymerase conserves energy,B,Meselson-Stahl (1958): each daughter DNA has one parental + one new strand.,12,6,108,Molecular Basis of Inheritance,medium,2024,"Semi = half old, half new. Proved by Meselson-Stahl using ¹⁵N/¹⁴N."
305,BIOLOGY,Cell Division,b4,Crossing over occurs at which stage of meiosis:,Leptotene,Zygotene,Pachytene,Diplotene,C,Crossing over at Pachytene of Prophase I. Chiasmata visible at Diplotene.,11,10,180,Cell Division,hard,2022,"LZPDD: Leptotene, Zygotene, Pachytene (crossing over!), Diplotene, Diakinesis."
306,BIOLOGY,Photosynthesis,b5,C4 plants avoid photorespiration because:,No rubisco,CO₂ concentrated around rubisco,Different light reactions,More chlorophyll,B,Kranz anatomy: CO₂ concentrated in bundle sheath → rubisco works efficiently.,11,13,223,Photosynthesis,hard,2021,C4=Corn/Sugarcane/Sorghum. Kranz anatomy+CO₂ pump=no photorespiration.
307,BIOLOGY,Photosynthesis,b5,Site of light reactions in chloroplast:,Stroma,Thylakoid membrane,Outer membrane,Intermembrane space,B,Light reactions: thylakoid membranes. Calvin cycle (dark): stroma.,11,13,212,Photosynthesis,easy,2023,"Light=Thylakoid. Dark (Calvin)=Stroma. Remember L-T, D-S."
308,BIOLOGY,Respiration,b6,Glycolysis occurs in:,Mitochondrial matrix,Cytoplasm,Nucleus,Chloroplast,B,Glycolysis in cytoplasm. No O₂ needed. 1 glucose → 2 pyruvate + 2 ATP (net).,11,14,234,Respiration,easy,2020,Glycolysis=Cytoplasm. Krebs=Mitochondrial matrix. ETC=Inner mitochondrial membrane.
309,BIOLOGY,Plant Growth,b7,Apical dominance caused by:,Cytokinin,Gibberellin,Auxin,Ethylene,C,Auxin from shoot apex suppresses lateral bud growth.,11,15,255,Plant Growth Regulators,medium,2022,Auxin=apical dominance. Cytokinin=lateral growth (opposes auxin). Gibberellin=stem elongation.
310,BIOLOGY,Digestion & Absorption,b8,Pepsin is secreted by:,Chief cells,Parietal cells,Goblet cells,G-cells,A,Chief (peptic) cells → pepsinogen → pepsin (activated by HCl). Parietal/oxyntic cells → HCl.,11,16,264,Digestion,medium,2021,Chief=pepsinogen. Parietal=HCl+Intrinsic factor. Goblet=mucus. G-cells=gastrin.
311,BIOLOGY,Breathing & Exchange,b9,Oxygen transport in blood mainly as:,Dissolved in plasma,Oxyhaemoglobin,With WBCs,Bicarbonate,B,"97% O₂ as oxyHb. 3% dissolved. CO₂: 70% bicarbonate, 23% carbamiHb, 7% dissolved.",11,17,280,Respiration,easy,,O₂: 97% oxyHb. CO₂: 70% bicarbonate. Transport mechanisms differ for O₂ and CO₂.
312,BIOLOGY,Body Fluids & Circulation,b10,Pacemaker of the heart is:,AV node,SA node,Bundle of His,Purkinje fibres,B,"SA node (right atrium): 70-75 bpm, natural pacemaker.",11,18,294,Circulation,easy,2023,SA node=pacemaker=right atrium. AV=40-60 bpm backup. His/Purkinje=20-40 bpm.
313,BIOLOGY,Excretory Products,b5,Functional unit of kidney:,Glomerulus,Nephron,Loop of Henle,Bowman's capsule,B,Nephron = structural + functional unit. ~1 million per kidney.,11,19,307,Excretion,easy,2022,Nephron=kidney unit. Neuron=nerve unit. Sarcomere=muscle unit.
314,BIOLOGY,Locomotion & Movement,b5,Actin and myosin are proteins in:,Blood,Bone,Muscle,Nerve,C,Contractile proteins: actin (thin) + myosin (thick) in muscle. Sliding filament theory.,11,20,322,Locomotion,easy,,A-band has Myosin. I-band has Actin only. H-zone: myosin without actin.
315,BIOLOGY,Neural Control,b5,Myelin sheath in PNS produced by:,Astrocytes,Oligodendrocytes,Schwann cells,Microglia,C,PNS: Schwann cells. CNS: Oligodendrocytes. Astrocytes=structural. Microglia=immune.,11,21,338,Neural Control,medium,2022,PNS myelin=Schwann. CNS myelin=Oligodendrocytes. Schwann also helps nerve regeneration.
316,BIOLOGY,Principles of Inheritance,b7,ABO blood group is example of:,Dominance,Codominance and multiple allelism,Incomplete dominance,Epistasis,B,"3 alleles (Iᴬ,Iᴮ,i) = multiple allelism. AB group = codominance.",12,5,98,Genetics,medium,2023,ABO=codominance+multiple allelism. Sickle cell=codominance. 4 o'clock plant=incomplete dominance.
317,BIOLOGY,Molecular Basis,b7,Central dogma states:,RNA→DNA→Protein,DNA→RNA→Protein,Protein→DNA→RNA,DNA→Protein→RNA,B,Transcription: DNA→RNA. Translation: RNA→Protein. Reverse transcription: RNA→DNA (retroviruses).,12,6,110,Molecular Basis,easy,2024,DNA→RNA→Protein. HIV uses reverse transcriptase for RNA→DNA.
318,BIOLOGY,Evolution,b7,Hardy-Weinberg equilibrium requires:,Mutations,Natural selection,"Large population, random mating",Genetic drift,C,"5 conditions: large population, random mating, no mutation, no selection, no gene flow.",12,7,137,Evolution,hard,2022,p²+2pq+q²=1. Five conditions for equilibrium. Violations = evolution occurring.
